SPEED [rad/s],TORQUE [Nm],EFFY [%],JLossTot [W],,SLIP,FREQUENCY [Hz],SA [W],V [V],I [A],JLossStat [W],JLossRotor [W],UsefulPower [W],IronLosses [W]
13.21768837,21.93886121,3.623169427,7705.256861,,9.816326531,4.66528,10213.64818,9.275847989,367.0337632,7673.692961,31.56390038,289.9810307,5.577938908
18.68993573,3.570540482,64.22623883,34.43439425,,6.142857143,6.33856,222.7013289,3.231129235,22.97456119,30.06677415,4.367620093,66.73317212,1.655148551
23.65024268,48.6186191,4.427373425,24803.65185,,9.632653061,8.33056,35494.43582,17.97434571,658.2425196,24681.08512,122.5667322,1149.842141,12.004762
24.14082477,14.16939398,51.69956536,309.9623485,,5.959183673,8.1712,1617.812442,7.580378094,71.14035834,288.2866171,21.67573139,342.0608571,5.956417098
41.55001118,6.130481004,70.64549315,93.36472034,,2.102040816,13.50976,1206.035852,10.23415706,39.2813935,87.895402,5.469318343,254.7215543,7.457769162
49.48529323,11.41203368,82.61563276,111.5522011,,7.428571429,17.01568,873.4909545,8.538687165,34.09934641,66.23453546,45.31766561,564.727833,4.501880847
54.92376834,22.97713932,83.11991566,242.4607803,,7.244897959,18.84832,1943.223996,12.88793603,50.25950864,143.88942,98.57136028,1261.991077,8.597282354
60.38339311,36.44931982,83.09727588,426.2407432,,7.06122449,20.68096,3487.049361,17.23718488,67.43269245,259.0200519,167.2206913,2200.933607,13.41861858
67.84876635,7.219780219,87.52679834,59.64202266,,3.387755102,22.35424,916.783618,11.19246613,27.30359295,42.4650839,17.17693876,489.8531812,6.163710343
73.55069269,12.21904827,87.90143493,106.6759947,,3.204081633,24.18688,1713.419534,15.54171499,36.74883017,76.92711095,29.7488838,898.7194641,10.38077409
93.2530056,8.573197022,88.70185893,92.63575592,,4.857142857,31.19872,1099.473205,12.1507752,30.16194952,51.82164592,40.81411,799.47639,5.664025525
98.92136835,14.4357767,89.09383586,159.7564637,,4.673469388,33.03136,1964.807229,16.50002406,39.69301744,89.74713947,70.00932428,1428.006785,9.322087142
110.3215428,28.09254563,89.74033117,324.9577378,,4.306122449,36.69664,4313.878788,25.19852178,57.06523615,185.4964586,139.4612792,3099.212977,18.3479863
115.8310302,36.73805036,89.74708608,448.6567898,,4.306122449,38.52928,5956.049319,29.54777064,67.19118668,257.1680476,191.4887422,4255.406219,23.544471
122.204666,0.1673830907,90.39406471,1.481679435,,2.469387755,39.88384,33.50440428,2.715116658,4.113316725,0.9637772886,0.5179021465,20.4549947,0.365804682
145.2104884,7.012415011,92.88205375,60.67264005,,2.102040816,47.2144,1574.874582,20.1121121,26.10159448,38.80846462,21.86417542,1018.276209,10.72392599
168.7002474,15.69963417,93.3272762,142.2240808,,1.551020408,54.54496,4726.500222,37.50910754,42.0031341,100.4976205,41.72646037,2648.532169,29.64062094
173.1792379,212.6920459,58.90185593,25560.66581,,6.326530612,58.84768,167606.034,87.78347571,636.4372968,23072.97683,2487.688974,36833.84643,98.87676548
173.803129,204.1853319,78.8331241,9416.155708,,8.346938776,60.3616,70522.85303,71.34478934,329.4931262,6184.222446,3231.933261,35488.04958,79.6210611
180.1305787,177.5012001,81.80468043,7027.126934,,10,63.70816,43903.63985,59.25535184,246.9742591,3474.527614,3552.599321,31973.39389,57.39144059
185.3122462,194.9392913,81.58893951,8058.870147,,10,65.5408,50848.01563,63.6046007,266.4797571,4045.021485,4013.848662,36124.63795,63.72986699
190.3937067,238.2829822,75.87423669,14289.37675,,7.979591837,65.85952,107946.999,84.39253592,426.3686665,10355.30626,3934.070497,45367.58024,97.35045296
194.9394164,0.441608413,93.32157828,3.574395052,,1.367346939,62.91136,141.3065336,7.285513765,6.465182742,2.380970392,1.19342466,86.0868863,1.526944271
196.4742571,220.8100764,81.40313913,9801.194023,,9.632653061,69.20608,65389.92415,72.30309842,301.4620654,5176.756359,4624.437664,43383.49572,76.93760163
201.6770743,236.7243847,81.00778871,11074.50885,,9.632653061,71.03872,74541.89631,76.65234728,324.1557454,5985.49169,5089.01716,47741.88133,83.69038074
212.9448335,260.2716851,80.64019723,13169.24786,,9.265306122,74.704,92970.39478,85.35084499,363.0910929,7509.717077,5659.530778,55423.51066,97.7943524
243.2345804,6.791887331,94.44142544,78.08530684,,2.102040816,79.0864,2103.92644,25.64081828,27.35126492,42.61350112,35.47180573,1652.021865,12.13090407
249.3186465,173.8731696,86.80058031,6467.519825,,6.87755102,85.22176,57656.87861,80.26443531,239.4455211,3265.922093,3201.597732,43349.82329,85.58008854
266.4499199,198.89371,86.56629006,8071.719185,,6.510204082,90.71968,77636.96541,93.31218189,277.3377274,4381.373631,3690.345554,52995.21311,107.3382109
270.3269538,78.11403339,92.90442108,1488.807454,,3.020408163,88.72768,28471.75503,78.56896542,120.7930505,831.1440178,657.6634359,21116.3287,83.15156039
277.7597255,215.6686651,86.20238059,9416.717485,,6.326530612,94.38496,93971.16168,102.0106796,307.0631494,5370.908888,4045.808597,59904.06922,122.5601909
291.0304062,18.24361375,95.45409497,174.2774264,,1.183673469,93.74752,7991.772008,60.43480915,44.07929867,110.6781107,63.59931571,5309.446322,51.36887504
295.0919208,235.8682093,85.67381006,11437.21797,,5.959183673,99.88288,121231.8798,115.0584262,351.2183151,7026.623685,4410.594284,69602.80294,146.3158015
299.3778334,1.621856767,95.19922505,15.93935975,,1.367346939,96.616,654.6624149,17.1634688,12.71426001,9.208196152,6.731163596,485.5479651,5.345371006
301.0931609,239.601856,85.51393671,12009.21698,,5.775510204,101.71552,130737.1098,119.4076751,364.9600963,7587.228263,4421.988712,72142.48016,154.246835
310.8730632,263.8071732,85.50906513,13709.71034,,7.428571429,106.89472,118509.8511,111.6674864,353.7581527,7128.617295,6581.09304,82010.54404,135.5004011
317.5923375,3.527479688,95.54310388,30.0946582,,1,102.11392,1645.59746,30.21121538,18.15658456,18.77849134,11.31616686,1120.300519,14.20360551
322.7274514,126.3460357,91.62756675,3556.105754,,3.755102041,106.73536,56432.00917,101.2735188,185.7412475,1965.210616,1590.895139,40775.3341,118.1411771
392.2964642,191.8690437,90.45962783,7687.127893,,4.12244898,130.24096,114906.5107,137.0258187,279.5252061,4450.761655,3236.366238,75269.54745,182.7389382
394.6682141,228.1150728,88.68993779,11265.64447,,5.959183673,133.58752,117105.1797,124.9363812,312.4394955,5560.633102,5705.011366,90029.76841,153.8339967
395.6633082,18.17099187,96.17125715,200.0302129,,1.183673469,127.45216,9432.76913,70.31276419,44.71814489,113.9094992,86.12071371,7189.594755,57.78117174
397.3961551,2.4011755,95.62333001,31.92914067,,1.551020408,128.488,1172.441808,22.69217498,17.22240976,16.89585683,15.03328384,954.2179112,7.513467464
407.7984104,18.89532827,96.27899304,193.1813918,,1,131.11744,10666.43996,79.01126191,44.99966082,115.3482117,77.83318014,7705.484834,70.52121526
422.4197244,4.674343449,96.22130448,46.6546718,,1,135.81856,2604.282306,40.08917042,21.65407997,26.70987512,19.94479668,1974.534871,20.33026466
425.0346253,248.7832584,89.41353731,12249.62991,,5.224489796,142.75072,147738.2453,146.6826255,335.7322082,6420.641165,5828.988748,105741.499,197.8866224
449.4591074,258.0621176,89.73943546,12945.03201,,4.673469388,150.08128,175713.8756,164.079621,356.9687176,7258.597304,5686.434705,115988.369,235.8707077
467.719589,262.7776086,89.82623154,13567.40869,,4.306122449,155.5792,199595.7123,177.1273675,375.6161739,8036.759167,5530.649521,122906.2351,265.4730725
486.4625595,129.7114205,93.86652117,3828.537673,,2.469387755,158.7664,91811.88682,154.6439624,197.8994963,2230.908524,1597.629149,63099.74963,214.4437243
512.6257973,19.01399636,96.6671176,221.8456538,,1,164.82208,12411.23272,88.88921695,46.54195093,123.3904514,98.45520244,9747.065042,78.68107945
525.3888584,235.5358964,90.11123467,13295.67574,,5.224489796,176.45536,158342.1924,156.5605806,337.1265653,6474.084103,6821.591633,123747.9357,208.0991589
527.2471113,5.809225066,96.59093865,67.73931788,,1,169.5232,3810.123206,49.96712546,25.41753317,36.80096297,30.9383549,3062.897135,27.20743712
617.4531842,19.44332979,96.89323848,259.4435477,,1,198.52672,14593.39147,98.76717199,49.25182857,138.1774276,121.2661201,12005.34589,88.15855064
632.0744983,6.934612286,96.8209857,93.30979544,,1,203.22784,5267.532168,59.84508049,29.33982278,49.03513301,44.27466243,4383.191581,34.84120632
633.2749014,190.0500322,93.29594682,8290.382002,,3.387755102,208.64608,146651.9868,182.877222,267.3049987,4070.113739,4220.268263,120353.9154,264.3983865
652.3956465,1.169765962,96.53209609,16.37350427,,1,209.7616,935.0846882,25.27223786,12.33349012,8.664916176,7.70858809,763.1502209,7.168323974
691.1308635,171.4951196,94.66999884,6191.858688,,2.285714286,225.13984,163188.1498,222.0204617,245.0046699,3419.330732,2772.527956,118525.5701,365.9345009
698.066367,162.3342496,94.83949305,5670.147694,,2.102040816,226.97248,161887.1985,226.3697106,238.3817136,3236.966909,2433.180785,113320.0799,378.2565633
701.9594229,35.91651961,97.04260546,537.6578906,,1,225.6976,30283.74136,143.2179697,70.48403547,282.9918362,254.6660543,25211.93938,166.5038717
722.2805712,20.04441513,97.04076072,303.3985923,,1,232.23136,17120.06203,108.645127,52.52593925,157.1592832,146.2393092,14477.69161,98.74004239
757.2230335,1.953369805,96.7931907,30.86189796,,1,243.46624,1762.948554,35.1501929,16.71824447,15.92112413,14.94077383,1479.136609,12.20305541
812.6269752,37.36124304,97.16178116,630.518108,,1,261.28,35614.1206,157.4451736,75.40004731,323.843826,306.674282,30360.75392,188.2981907
827.3070094,20.74708959,97.14472886,352.6430491,,1,266,19947.03604,118.5230821,56.09887877,179.2671638,173.3758853,17164.21264,110.3108416
841.9870435,9.138282032,97.08902631,157.3022715,,1,270.72,8925.873615,79.60099057,37.37756508,79.58191722,77.72035425,7694.315071,52.39869162
847.7097687,10.10105747,97.10331993,174.9228404,,1,272.56,9923.102135,83.95023943,39.40072993,88.43026373,86.49257671,8562.765094,57.66954908
856.7109318,95.01628435,96.73292577,2277.181917,,1.367346939,276.48,95181.94604,223.4210673,142.0068203,1148.71103,1128.470887,81401.4895,355.5012705
917.8753557,37.19748476,97.2408373,696.989201,,1,295.12,39465.95577,167.3231286,78.62223652,352.1139025,344.8752985,34142.65455,202.4757199
939.1879715,112.5848453,95.94821271,4025.486514,,1.918367347,304.8,122483.9389,220.2512757,185.3700029,1957.362657,2068.123857,105738.3325,334.8044269
954.087276,99.77520807,96.53077485,2949.072383,,1.551020408,308.48,109559.1685,228.9497735,159.5097575,1449.328707,1499.743676,95194.25648,359.6010322
967.6381833,3.712590208,97.0761728,72.68706968,,1,311.12,4163.848498,54.90610298,25.27860154,36.3997561,36.28731358,3592.444044,25.04472225
1002.720977,54.38904652,97.30057646,1108.900564,,1,322.4,62881.51194,211.7739263,98.9758482,558.0213938,550.8791703,54537.03786,306.8778316
1023.123736,37.24430477,97.29992218,768.7005309,,1,328.96,43635.68026,177.2010836,82.08317046,383.7961647,384.9043662,38105.53225,217.8917184
1037.790383,105.4739086,95.97921463,4142.932611,,1.918367347,336.8,126982.7691,225.7799819,187.4727305,2002.020843,2140.911768,109459.8081,340.7591098
1037.80377,22.2877308,97.28020601,464.34478,,1,333.68,26400.38252,138.2789921,63.64037929,230.7054764,233.6393036,23130.29106,136.2132355
1072.886564,4.641316634,97.16226437,99.82676193,,1,344.96,5730.827411,64.78405801,29.48681917,49.52770885,50.29905308,4979.606255,32.76072894
1126.488238,110.1495363,95.38786359,5569.540095,,2.285714286,366.96,147328.7645,226.9594392,216.3804614,2667.033495,2902.506599,124082.1571,335.5574869
1128.372117,37.44137896,97.34539325,845.102616,,1,362.8,48097.63846,187.0790387,85.69931868,418.3570804,426.7455356,42247.80803,234.4280433
1163.45491,13.25573575,97.29727478,306.8686451,,1,374.08,17549.1135,113.5841045,51.50108392,151.0863134,155.7823318,15422.45085,90.85306605
1178.134944,5.586325842,97.22834589,131.031153,,1,378.8,7540.137829,74.66201305,33.66342767,64.55190364,66.47924934,6581.445684,41.3109915
1248.300531,23.91039612,97.36356357,591.6118937,,1,401.36,33835.25537,158.0349022,71.36663041,290.1234071,301.4884867,29847.36018,165.7027463
1254.023256,25.13127517,97.36795994,624.6002665,,1,403.2,35720.48102,162.3841511,73.32505622,306.2648773,318.3353892,31515.20353,174.1979174
1268.703291,14.26827799,97.33770745,358.3167718,,1,407.92,20556.78801,123.4620596,55.50095871,175.4661533,182.8506185,18102.21123,103.5168115
1289.10605,7.204990859,97.2908646,183.8518373,,1,414.48,10601.72781,88.88921695,39.75633255,90.03368266,93.8181546,9287.997306,55.59963118
1296.469379,63.26068396,96.90255915,2201.377581,,1.367346939,418.4,93647.54816,228.3600448,136.6957579,1064.394102,1136.983479,82015.53964,329.3062927
1303.786084,2.199228653,97.16187749,57.05586014,,1,419.2,3328.958981,49.96712546,22.20766121,28.09299435,28.96286579,2867.323713,18.9052707
1338.868877,38.09390908,97.41065449,1008.655298,,1,430.48,57753.992,206.8349487,93.07581134,493.476012,515.1792857,51002.74929,270.7238952
1348.740659,72.86234129,95.41477508,4380.1012,,2.285714286,439.36,119159.082,207.7932578,191.1500615,2081.331557,2298.769643,98272.40223,271.8357513
1355.578201,91.38486981,90.44740765,12775.17416,,5.224489796,455.28,199052.2436,205.3606271,323.0938121,5946.33902,6828.835137,123879.3374,258.129786
1359.271637,25.9160007,97.3976957,695.1067401,,1,437.04,39883.54038,172.2621061,77.17607638,339.2796221,355.827118,35226.88468,190.5912906
1373.951671,15.26388582,97.37076409,413.4071307,,1,441.76,23795.72186,133.3400146,59.48632381,201.5703485,211.8367822,20971.84143,116.9992701
1384.747619,71.36841191,96.33676152,3345.400169,,1.734693878,448.56,115438.1056,229.5395021,167.6372397,1600.786405,1744.613764,98827.2385,327.1002475
1394.35443,8.17099793,97.33108835,224.5581924,,1,448.32,12989.56282,98.76717199,43.83900222,109.4746857,115.0835067,11393.26716,66.17891983
1409.034464,2.90954488,97.23161958,81.10174654,,1,453.04,4739.148979,59.84508049,26.39676166,39.69115046,41.41059608,4099.649012,25.799731
1444.117258,38.50511961,97.43453031,1095.31218,,1,464.32,62926.3489,216.7129038,96.78911254,533.6363447,561.6758358,55605.90774,290.4262599
1464.520017,26.69892012,97.42227363,768.7975475,,1,470.88,44266.13767,182.1400611,81.01116871,373.8369116,394.9606359,39101.10295,207.8832638
1479.200051,16.23939469,97.39817637,471.9051717,,1,475.6,27257.8792,143.2179697,63.44147843,229.2656418,242.6395299,24021.31346,131.3109925
1499.602811,9.132882683,97.36388253,269.0341246,,1,482.16,15612.15064,108.645127,47.89952716,130.6937555,138.3403691,13695.69654,77.5805995
1514.282845,3.657322093,97.28452691,109.0565716,,1,486.88,6387.188826,69.72303553,30.53600472,53.11495442,55.94161721,5538.220103,33.59167924
1549.365638,38.94984037,97.45423762,1184.849909,,1,498.16,68313.51236,226.5908588,100.4946577,575.2787542,609.5711544,60347.54429,311.1414639